Date,Category,Subcategory,Company,District,Emissions,Percentage_of_Total
2023-09-17,Manufacturing,Business Process Outsourcing,John Keells IT,Anuradhapura,220.44,11.52
2023-09-10,Transportation,Other Financial Services,Nations Trust Bank,Matale,775.31,18.04
2023-12-21,Warehousing,Destination Management,Whittall Boustead Travel,Badulla,534.7,1.88
2023-09-04,Manufacturing,Rubber Plantations,Keells Plantations,Kalutara,451.01,11.93
2023-09-21,Warehousing,Insurance,Nations Trust Bank,Mullaitivu,933.78,22.48
2023-03-25,Manufacturing,Property Development,John Keells Properties,Kegalle,1177.66,8.7
2023-02-10,Warehousing,Beverages,Ceylon Cold Stores,Matale,1045.76,23.06
2023-04-19,Manufacturing,Beverages,Keells Food Products,Gampaha,429.74,4.72
2023-08-02,Manufacturing,Property Development,John Keells Properties,Kandy,909.43,10.3
2023-11-07,Warehousing,Property Management,John Keells Properties,Nuwara Eliya,177.12,6.33
2023-09-13,Manufacturing,Destination Management,Cinnamon Hotels & Resorts,Anuradhapura,860.41,20.83
2023-05-24,Manufacturing,Destination Management,Cinnamon Hotels & Resorts,Ampara,156.48,17.88
2023-02-11,Transportation,Ports & Shipping,John Keells Logistics,Anuradhapura,961.75,7.24
2023-07-11,Warehousing,Hotel Ownership,Walkers Tours,Anuradhapura,999.93,10.0
2023-05-06,Manufacturing,Business Process Outsourcing,John Keells IT,Mullaitivu,1193.83,7.95
2023-12-17,Warehousing,Property Management,John Keells Properties,Badulla,352.39,14.38
2023-08-08,Transportation,Software Services,John Keells IT,Ratnapura,470.68,22.15
2023-06-28,Transportation,Rubber Plantations,Keells Plantations,Kurunegala,684.43,14.2
2023-04-15,Warehousing,Other Financial Services,Nations Trust Bank,Mullaitivu,736.4,6.29
2023-04-09,Warehousing,Business Process Outsourcing,Infomate,Mullaitivu,708.99,23.96
2023-04-17,Manufacturing,Property Development,John Keells Properties,Colombo,1017.64,23.72
2023-08-06,Manufacturing,Rubber Plantations,Keells Plantations,Badulla,1182.27,7.93
2023-10-12,Manufacturing,Ports & Shipping,South Asia Gateway Terminals,Jaffna,757.96,11.82
2023-03-11,Manufacturing,Supermarkets,Keells Super,Ampara,922.59,16.79
2023-07-07,Transportation,Other Financial Services,Union Assurance,Polonnaruwa,1167.95,19.36
2023-07-07,Warehousing,Software Services,John Keells IT,Badulla,601.42,2.78
2023-02-20,Warehousing,Convenience Foods,Keells Food Products,Matale,784.31,16.36
2023-03-03,Warehousing,Convenience Foods,Ceylon Cold Stores,Ratnapura,1121.45,9.19
2023-12-18,Manufacturing,Property Management,John Keells Properties,Kurunegala,241.88,15.78
2023-12-06,Manufacturing,Business Process Outsourcing,Infomate,Jaffna,810.06,8.29
2023-05-27,Transportation,Hotel Management,Cinnamon Hotels & Resorts,Nuwara Eliya,558.98,16.0
2023-10-21,Warehousing,Software Services,Infomate,Hambantota,613.75,9.23
2023-10-06,Manufacturing,Property Development,John Keells Properties,Anuradhapura,472.93,2.94
2023-05-23,Transportation,Supermarkets,Keells Super,Kegalle,582.43,24.77
2023-12-04,Transportation,Other Financial Services,Union Assurance,Ampara,754.25,11.84
2023-07-12,Manufacturing,Rubber Plantations,Tea Smallholder Factories PLC,Mannar,657.96,18.08
2023-04-29,Transportation,Supermarkets,Keells Super,Kegalle,262.29,16.38
2023-03-26,Transportation,Destination Management,Whittall Boustead Travel,Mannar,594.96,24.43
2023-06-24,Warehousing,Logistics,South Asia Gateway Terminals,Trincomalee,309.89,24.5
2023-04-26,Manufacturing,Rubber Plantations,Keells Plantations,Kurunegala,1199.35,4.99
2023-03-17,Warehousing,Insurance,Nations Trust Bank,Kurunegala,617.16,9.84
2023-07-04,Warehousing,Supermarkets,Keells Super,Colombo,229.97,11.28
2023-07-05,Manufacturing,Property Management,John Keells Properties,Mannar,354.84,6.85
2023-09-15,Warehousing,Property Development,John Keells Properties,Colombo,903.61,13.0
2023-07-12,Warehousing,Property Development,John Keells Properties,Kurunegala,763.6,14.27
2023-03-25,Manufacturing,Frozen Confectionery,Ceylon Cold Stores,Mullaitivu,1070.25,12.04
2023-10-29,Transportation,Property Management,John Keells Properties,Kilinochchi,934.64,24.33
2023-08-18,Manufacturing,Tea Plantations,Tea Smallholder Factories PLC,Hambantota,441.73,6.84
2023-06-08,Manufacturing,Supermarkets,Keells Super,Galle,746.34,9.33
2023-02-01,Transportation,Rubber Plantations,Tea Smallholder Factories PLC,Colombo,637.74,10.72
2023-04-08,Warehousing,Tea Plantations,Tea Smallholder Factories PLC,Ratnapura,276.09,11.88
2023-09-29,Warehousing,Logistics,John Keells Logistics,Matara,419.3,7.89
2023-01-08,Manufacturing,Ports & Shipping,South Asia Gateway Terminals,Gampaha,827.96,17.52
2023-09-17,Manufacturing,Other Financial Services,Union Assurance,Kalutara,628.42,13.76
2023-03-24,Manufacturing,Software Services,John Keells IT,Mullaitivu,462.94,22.83
2023-05-08,Manufacturing,Tea Plantations,Tea Smallholder Factories PLC,Colombo,534.39,7.29
2023-12-30,Transportation,Insurance,Union Assurance,Mullaitivu,1171.86,21.37
2023-03-11,Manufacturing,Insurance,Nations Trust Bank,Jaffna,1072.93,5.06
2023-07-21,Manufacturing,Property Management,John Keells Properties,Ampara,700.53,20.63
2023-10-26,Manufacturing,Rubber Plantations,Tea Smallholder Factories PLC,Ampara,199.55,24.65
2023-05-23,Manufacturing,Destination Management,Cinnamon Hotels & Resorts,Kegalle,558.37,8.6
2023-12-26,Warehousing,Business Process Outsourcing,Infomate,Ampara,978.22,22.76
2023-11-14,Transportation,Convenience Foods,Keells Food Products,Kegalle,685.23,23.87
2023-02-05,Manufacturing,Business Process Outsourcing,John Keells IT,Matale,545.46,10.68
2023-11-03,Manufacturing,Logistics,South Asia Gateway Terminals,Matara,358.94,9.72
2023-10-25,Transportation,Property Management,John Keells Properties,Polonnaruwa,958.92,11.32
2023-03-06,Transportation,Insurance,Union Assurance,Kalutara,844.9,13.77
2023-01-31,Warehousing,Hotel Management,Walkers Tours,Kandy,800.38,22.44
2023-04-01,Manufacturing,Rubber Plantations,Keells Plantations,Jaffna,164.84,20.74
2023-05-08,Manufacturing,Frozen Confectionery,Keells Food Products,Matara,103.51,22.58
2023-05-03,Manufacturing,Frozen Confectionery,Ceylon Cold Stores,Kurunegala,846.19,21.82
2023-05-08,Manufacturing,Hotel Ownership,Cinnamon Hotels & Resorts,Ratnapura,974.71,21.34
2023-09-20,Transportation,Tea Plantations,Keells Plantations,Vavuniya,926.56,6.3
2023-02-25,Manufacturing,Tea Plantations,Keells Plantations,Hambantota,286.27,5.89
2023-09-22,Warehousing,Supermarkets,Keells Super,Puttalam,980.62,19.72
2023-07-04,Warehousing,Banking,Union Assurance,Nuwara Eliya,501.19,19.59
2023-05-06,Transportation,Supermarkets,Keells Super,Vavuniya,133.86,12.67
2023-09-21,Manufacturing,Frozen Confectionery,Keells Food Products,Ratnapura,837.0,8.76
2023-03-05,Warehousing,Banking,Nations Trust Bank,Jaffna,1152.46,13.91
2023-03-27,Manufacturing,Property Development,John Keells Properties,Polonnaruwa,1018.84,21.06
2023-10-15,Transportation,Property Management,John Keells Properties,Polonnaruwa,212.71,16.82
2023-12-23,Warehousing,Property Development,John Keells Properties,Kegalle,1027.11,5.85
2023-02-04,Warehousing,Rubber Plantations,Tea Smallholder Factories PLC,Moneragala,274.78,19.64
2023-07-08,Transportation,Hotel Ownership,Whittall Boustead Travel,Kurunegala,1167.4,9.36
2023-01-24,Transportation,Frozen Confectionery,Ceylon Cold Stores,Ratnapura,282.8,20.17
2023-04-14,Transportation,Beverages,Keells Food Products,Hambantota,316.46,12.4
2023-05-06,Warehousing,Destination Management,Whittall Boustead Travel,Kurunegala,227.45,13.29
2023-04-30,Manufacturing,Property Development,John Keells Properties,Anuradhapura,591.95,5.76
2023-04-29,Warehousing,Property Development,John Keells Properties,Trincomalee,596.05,14.74
2023-11-17,Transportation,Logistics,South Asia Gateway Terminals,Gampaha,764.63,18.43
2023-11-05,Manufacturing,Tea Plantations,Keells Plantations,Gampaha,924.71,2.65
2023-02-17,Transportation,Property Management,John Keells Properties,Trincomalee,234.89,11.33
2023-04-13,Warehousing,Software Services,Infomate,Galle,947.43,24.93
2023-09-24,Transportation,Insurance,Union Assurance,Batticaloa,894.43,13.05
2023-01-06,Warehousing,Software Services,Infomate,Puttalam,440.78,8.0
2023-06-09,Warehousing,Rubber Plantations,Tea Smallholder Factories PLC,Ratnapura,865.85,8.78
2023-11-03,Warehousing,Convenience Foods,Ceylon Cold Stores,Puttalam,144.33,17.05
2023-11-07,Warehousing,Property Management,John Keells Properties,Kegalle,706.74,20.58
2023-10-28,Manufacturing,Rubber Plantations,Tea Smallholder Factories PLC,Galle,478.87,9.53
2023-11-10,Warehousing,Property Development,John Keells Properties,Hambantota,664.85,8.66
2023-12-02,Manufacturing,Property Development,John Keells Properties,Mannar,728.13,20.34
2023-08-13,Transportation,Other Financial Services,Nations Trust Bank,Trincomalee,404.28,16.92
2023-08-18,Manufacturing,Destination Management,Walkers Tours,Gampaha,115.85,3.82
2023-03-09,Warehousing,Hotel Ownership,Whittall Boustead Travel,Kurunegala,665.52,11.04
2023-03-05,Manufacturing,Property Management,John Keells Properties,Ratnapura,806.94,6.57
2023-09-30,Manufacturing,Tea Plantations,Tea Smallholder Factories PLC,Batticaloa,641.66,11.21
2023-12-26,Manufacturing,Logistics,South Asia Gateway Terminals,Anuradhapura,1110.93,3.81
2023-05-30,Transportation,Ports & Shipping,South Asia Gateway Terminals,Kandy,215.54,6.6
2023-12-17,Transportation,Property Development,John Keells Properties,Trincomalee,1067.43,20.35
2023-08-23,Warehousing,Hotel Management,Cinnamon Hotels & Resorts,Hambantota,715.44,4.61
2023-06-23,Warehousing,Rubber Plantations,Tea Smallholder Factories PLC,Nuwara Eliya,1103.84,15.73
2023-09-23,Manufacturing,Supermarkets,Keells Super,Ampara,335.76,14.66
2023-07-15,Warehousing,Software Services,John Keells IT,Hambantota,1033.59,14.43
2023-05-22,Transportation,Software Services,Infomate,Hambantota,470.67,10.3
2023-04-03,Transportation,Supermarkets,Keells Super,Gampaha,218.03,5.6
2023-01-15,Warehousing,Rubber Plantations,Keells Plantations,Kurunegala,237.82,5.98
2023-12-24,Manufacturing,Logistics,South Asia Gateway Terminals,Jaffna,977.98,15.99
2023-10-14,Transportation,Business Process Outsourcing,Infomate,Colombo,520.46,9.99
2023-04-25,Transportation,Other Financial Services,Union Assurance,Mannar,414.25,24.98
2023-07-24,Manufacturing,Supermarkets,Keells Super,Badulla,350.89,6.91
2023-04-28,Warehousing,Convenience Foods,Ceylon Cold Stores,Polonnaruwa,265.15,16.82
2023-09-19,Manufacturing,Logistics,John Keells Logistics,Jaffna,856.27,6.19
2023-01-19,Manufacturing,Logistics,John Keells Logistics,Batticaloa,998.91,16.52
2023-02-21,Warehousing,Supermarkets,Keells Super,Ampara,734.11,6.86
2023-05-12,Warehousing,Business Process Outsourcing,Infomate,Kegalle,261.1,10.74
2023-08-04,Warehousing,Logistics,John Keells Logistics,Vavuniya,1199.74,15.33
2023-07-18,Warehousing,Tea Plantations,Tea Smallholder Factories PLC,Badulla,499.37,6.67
2023-11-01,Transportation,Logistics,John Keells Logistics,Anuradhapura,1081.35,1.6
2023-12-28,Warehousing,Software Services,Infomate,Galle,317.84,5.18
2023-03-09,Manufacturing,Logistics,John Keells Logistics,Mannar,746.32,13.8
2023-04-29,Warehousing,Hotel Management,Walkers Tours,Kurunegala,546.75,24.4
2023-06-17,Manufacturing,Convenience Foods,Ceylon Cold Stores,Trincomalee,682.25,4.35
2023-06-04,Warehousing,Business Process Outsourcing,Infomate,Polonnaruwa,1180.29,9.86
2023-08-11,Warehousing,Software Services,Infomate,Anuradhapura,1043.84,21.28
2023-06-14,Transportation,Tea Plantations,Tea Smallholder Factories PLC,Ratnapura,258.39,19.01
2023-05-23,Transportation,Supermarkets,Keells Super,Kalutara,1085.93,2.19
2023-08-21,Transportation,Insurance,Union Assurance,Galle,389.78,3.72
2023-06-06,Transportation,Hotel Ownership,Cinnamon Hotels & Resorts,Puttalam,847.46,23.16
2023-05-17,Warehousing,Rubber Plantations,Keells Plantations,Polonnaruwa,291.91,14.61
2023-02-06,Transportation,Supermarkets,Keells Super,Vavuniya,736.04,14.1
2023-04-03,Manufacturing,Rubber Plantations,Tea Smallholder Factories PLC,Mannar,450.08,10.97
2023-10-04,Manufacturing,Hotel Ownership,Cinnamon Hotels & Resorts,Mannar,559.75,5.8
2023-09-09,Manufacturing,Supermarkets,Keells Super,Badulla,306.45,18.63
2023-08-23,Manufacturing,Business Process Outsourcing,John Keells IT,Gampaha,692.49,4.25
2023-07-02,Warehousing,Property Management,John Keells Properties,Puttalam,1182.64,12.6
2023-06-09,Warehousing,Business Process Outsourcing,John Keells IT,Kalutara,281.78,7.5
2023-01-25,Transportation,Rubber Plantations,Tea Smallholder Factories PLC,Moneragala,655.0,24.97
2023-10-30,Manufacturing,Property Management,John Keells Properties,Puttalam,1160.86,4.53
2023-08-30,Warehousing,Ports & Shipping,South Asia Gateway Terminals,Badulla,165.76,17.62
2023-03-24,Transportation,Insurance,Nations Trust Bank,Moneragala,1050.13,24.74
2023-11-22,Warehousing,Hotel Ownership,Cinnamon Hotels & Resorts,Anuradhapura,267.34,14.84
2023-08-14,Manufacturing,Hotel Ownership,Cinnamon Hotels & Resorts,Mannar,862.93,7.0
2023-06-06,Transportation,Ports & Shipping,South Asia Gateway Terminals,Matara,695.65,12.99
2023-03-30,Transportation,Property Development,John Keells Properties,Trincomalee,349.72,5.45
2023-03-15,Manufacturing,Convenience Foods,Ceylon Cold Stores,Gampaha,725.31,20.03
2023-11-04,Transportation,Beverages,Keells Food Products,Jaffna,1098.22,3.13
2023-01-24,Manufacturing,Business Process Outsourcing,Infomate,Kilinochchi,503.71,9.13
2023-07-27,Transportation,Supermarkets,Keells Super,Colombo,1000.44,6.97
2023-02-22,Warehousing,Ports & Shipping,John Keells Logistics,Mannar,723.68,2.31
2023-12-26,Warehousing,Insurance,Nations Trust Bank,Matara,562.67,9.05
2023-05-10,Warehousing,Rubber Plantations,Tea Smallholder Factories PLC,Puttalam,744.0,10.62
2023-10-26,Transportation,Supermarkets,Keells Super,Gampaha,887.37,1.17
2023-09-02,Manufacturing,Destination Management,Walkers Tours,Mannar,316.67,24.48
2023-08-29,Warehousing,Property Management,John Keells Properties,Matale,969.18,24.55
2023-04-27,Transportation,Other Financial Services,Union Assurance,Gampaha,170.31,14.39
2023-04-20,Transportation,Convenience Foods,Ceylon Cold Stores,Gampaha,249.11,7.18
2023-04-03,Warehousing,Logistics,South Asia Gateway Terminals,Batticaloa,446.34,24.04
2023-05-02,Manufacturing,Destination Management,Cinnamon Hotels & Resorts,Puttalam,143.84,16.05
2023-02-10,Manufacturing,Hotel Management,Cinnamon Hotels & Resorts,Mannar,305.24,4.53
2023-08-16,Warehousing,Insurance,Union Assurance,Polonnaruwa,893.06,17.53
2023-09-05,Warehousing,Banking,Nations Trust Bank,Polonnaruwa,927.17,8.34
2023-09-07,Manufacturing,Property Development,John Keells Properties,Ratnapura,684.76,7.11
2023-06-17,Warehousing,Logistics,South Asia Gateway Terminals,Badulla,468.78,7.54
2023-07-15,Manufacturing,Supermarkets,Keells Super,Badulla,659.15,2.06
2023-02-14,Transportation,Software Services,John Keells IT,Kurunegala,1091.08,24.57
2023-02-04,Warehousing,Hotel Ownership,Walkers Tours,Mullaitivu,1098.94,1.57
2023-05-21,Manufacturing,Property Development,John Keells Properties,Matale,213.22,20.79
2023-03-13,Warehousing,Ports & Shipping,South Asia Gateway Terminals,Vavuniya,515.75,20.05
2023-02-03,Manufacturing,Other Financial Services,Nations Trust Bank,Kilinochchi,849.51,20.13
2023-01-07,Transportation,Software Services,Infomate,Colombo,984.25,18.23
2023-04-20,Manufacturing,Ports & Shipping,John Keells Logistics,Ratnapura,864.61,15.59
2023-10-30,Manufacturing,Banking,Nations Trust Bank,Kalutara,921.51,12.42
2023-03-01,Manufacturing,Beverages,Keells Food Products,Gampaha,1020.42,14.2
2023-03-23,Manufacturing,Other Financial Services,Nations Trust Bank,Matara,580.65,22.28
2023-06-19,Warehousing,Property Development,John Keells Properties,Kalutara,250.98,12.19
2023-03-09,Transportation,Frozen Confectionery,Keells Food Products,Ampara,363.15,14.67
2023-07-12,Manufacturing,Beverages,Ceylon Cold Stores,Gampaha,834.05,6.2
2023-10-19,Manufacturing,Beverages,Ceylon Cold Stores,Batticaloa,111.8,18.95
2023-08-02,Transportation,Business Process Outsourcing,Infomate,Badulla,503.57,11.29
2023-05-30,Transportation,Insurance,Union Assurance,Hambantota,1165.12,20.47
2023-01-27,Warehousing,Tea Plantations,Keells Plantations,Kalutara,681.04,15.67
2023-04-21,Warehousing,Software Services,John Keells IT,Puttalam,1118.98,5.66
2023-09-13,Warehousing,Beverages,Keells Food Products,Anuradhapura,1102.19,6.19
2023-05-16,Manufacturing,Hotel Ownership,Whittall Boustead Travel,Batticaloa,698.39,1.45
2023-01-09,Transportation,Hotel Ownership,Whittall Boustead Travel,Jaffna,837.2,22.75
2023-09-02,Warehousing,Destination Management,Cinnamon Hotels & Resorts,Badulla,164.59,4.54
2023-01-22,Transportation,Property Development,John Keells Properties,Kurunegala,650.32,21.34
2023-06-22,Warehousing,Beverages,Keells Food Products,Anuradhapura,558.44,2.23
2023-04-12,Transportation,Logistics,South Asia Gateway Terminals,Matale,178.48,4.7
2023-01-15,Warehousing,Software Services,John Keells IT,Kurunegala,421.05,9.92
2023-05-23,Warehousing,Beverages,Ceylon Cold Stores,Matale,1049.55,3.26
2023-07-10,Transportation,Supermarkets,Keells Super,Anuradhapura,428.4,14.68
2023-10-19,Manufacturing,Ports & Shipping,South Asia Gateway Terminals,Polonnaruwa,663.12,18.28
2023-02-28,Manufacturing,Convenience Foods,Keells Food Products,Hambantota,225.24,10.27
2023-07-25,Manufacturing,Convenience Foods,Keells Food Products,Vavuniya,756.25,20.85
2023-03-04,Manufacturing,Beverages,Keells Food Products,Kurunegala,983.07,11.31
2023-03-18,Transportation,Business Process Outsourcing,Infomate,Colombo,926.73,13.64
2023-11-27,Manufacturing,Property Development,John Keells Properties,Matale,827.23,9.44
2023-04-19,Manufacturing,Logistics,South Asia Gateway Terminals,Moneragala,1021.69,2.38
2023-07-27,Transportation,Logistics,South Asia Gateway Terminals,Trincomalee,138.97,10.66
2023-12-04,Transportation,Property Management,John Keells Properties,Trincomalee,130.78,9.54
2023-06-10,Manufacturing,Supermarkets,Keells Super,Jaffna,864.6,22.37
2023-01-25,Warehousing,Destination Management,Whittall Boustead Travel,Galle,481.29,14.71
2023-06-10,Manufacturing,Supermarkets,Keells Super,Ampara,881.6,24.72
2023-10-02,Warehousing,Supermarkets,Keells Super,Mannar,365.62,2.45
2023-02-14,Transportation,Software Services,John Keells IT,Puttalam,947.39,14.33
2023-11-03,Warehousing,Ports & Shipping,John Keells Logistics,Ratnapura,966.26,21.5
2023-11-29,Warehousing,Frozen Confectionery,Ceylon Cold Stores,Kegalle,394.33,11.63
2023-03-09,Transportation,Supermarkets,Keells Super,Trincomalee,175.46,11.69
2023-07-21,Transportation,Rubber Plantations,Tea Smallholder Factories PLC,Batticaloa,941.79,17.53
2023-01-15,Transportation,Hotel Ownership,Walkers Tours,Anuradhapura,413.68,12.95
2023-06-20,Warehousing,Logistics,South Asia Gateway Terminals,Galle,392.66,10.82
2023-01-09,Warehousing,Banking,Union Assurance,Mannar,175.63,9.96
2023-02-18,Manufacturing,Software Services,John Keells IT,Kegalle,535.1,6.19
2023-05-10,Transportation,Logistics,John Keells Logistics,Gampaha,1197.27,11.7
2023-03-15,Warehousing,Hotel Management,Cinnamon Hotels & Resorts,Anuradhapura,1142.69,1.86
2023-12-15,Warehousing,Banking,Union Assurance,Colombo,320.45,17.11
2023-10-07,Transportation,Tea Plantations,Keells Plantations,Badulla,329.67,15.26
2023-01-12,Transportation,Convenience Foods,Keells Food Products,Ampara,859.64,14.63
2023-02-17,Warehousing,Destination Management,Cinnamon Hotels & Resorts,Hambantota,288.27,15.6
2023-12-01,Manufacturing,Destination Management,Cinnamon Hotels & Resorts,Kegalle,203.88,6.79
2023-04-09,Manufacturing,Business Process Outsourcing,John Keells IT,Ampara,792.26,9.06
2023-09-04,Manufacturing,Convenience Foods,Keells Food Products,Badulla,863.35,12.07
2023-12-31,Transportation,Software Services,John Keells IT,Matale,157.76,5.4
2023-02-20,Transportation,Property Development,John Keells Properties,Gampaha,260.19,22.77
2023-05-07,Manufacturing,Logistics,South Asia Gateway Terminals,Kalutara,581.17,20.37
2023-09-09,Warehousing,Banking,Nations Trust Bank,Galle,947.14,12.29
2023-09-17,Warehousing,Property Management,John Keells Properties,Vavuniya,726.7,19.56
2023-10-26,Manufacturing,Ports & Shipping,South Asia Gateway Terminals,Anuradhapura,602.3,11.16
2023-06-21,Transportation,Hotel Management,Cinnamon Hotels & Resorts,Ampara,318.36,17.15
2023-02-07,Manufacturing,Other Financial Services,Nations Trust Bank,Kilinochchi,542.0,8.88
2023-02-14,Transportation,Logistics,South Asia Gateway Terminals,Kegalle,1198.22,3.3
2023-02-07,Manufacturing,Supermarkets,Keells Super,Hambantota,220.79,5.0
2023-12-26,Manufacturing,Hotel Management,Whittall Boustead Travel,Trincomalee,322.18,4.42
2023-12-02,Transportation,Insurance,Union Assurance,Galle,431.02,14.69
2023-08-27,Warehousing,Software Services,Infomate,Kilinochchi,571.49,4.33
2023-04-08,Warehousing,Tea Plantations,Tea Smallholder Factories PLC,Kandy,912.83,14.29
2023-04-01,Warehousing,Rubber Plantations,Tea Smallholder Factories PLC,Anuradhapura,746.53,19.18
2023-04-04,Warehousing,Tea Plantations,Tea Smallholder Factories PLC,Trincomalee,868.07,15.39
2023-08-09,Transportation,Supermarkets,Keells Super,Hambantota,856.12,19.01
2023-01-04,Manufacturing,Business Process Outsourcing,John Keells IT,Kandy,815.71,6.32
2023-09-09,Manufacturing,Beverages,Keells Food Products,Galle,1148.56,2.96
2023-08-21,Warehousing,Supermarkets,Keells Super,Jaffna,363.12,10.67
2023-03-02,Manufacturing,Property Management,John Keells Properties,Colombo,771.55,24.04
2023-05-03,Manufacturing,Supermarkets,Keells Super,Polonnaruwa,189.23,10.1
2023-03-14,Transportation,Other Financial Services,Nations Trust Bank,Trincomalee,1168.22,14.47
2023-04-13,Transportation,Software Services,John Keells IT,Batticaloa,730.51,4.73
2023-09-10,Manufacturing,Rubber Plantations,Tea Smallholder Factories PLC,Anuradhapura,703.8,18.14
2023-01-06,Manufacturing,Property Development,John Keells Properties,Galle,786.82,7.12
2023-08-04,Manufacturing,Supermarkets,Keells Super,Anuradhapura,802.48,20.84
2023-12-13,Manufacturing,Rubber Plantations,Keells Plantations,Polonnaruwa,660.6,15.44
2023-11-10,Manufacturing,Logistics,John Keells Logistics,Matale,137.62,4.6
2023-04-02,Transportation,Property Management,John Keells Properties,Polonnaruwa,856.25,23.39
2023-12-17,Warehousing,Supermarkets,Keells Super,Moneragala,794.79,8.03
2023-10-15,Warehousing,Supermarkets,Keells Super,Batticaloa,636.27,15.47
2023-07-15,Transportation,Software Services,John Keells IT,Puttalam,902.09,24.42
2023-05-28,Warehousing,Software Services,Infomate,Mannar,1055.4,18.04
2023-11-05,Transportation,Banking,Union Assurance,Gampaha,200.97,10.55
2023-05-04,Transportation,Rubber Plantations,Keells Plantations,Colombo,967.41,14.82
2023-04-21,Manufacturing,Property Development,John Keells Properties,Kegalle,223.92,15.97
2023-09-18,Manufacturing,Supermarkets,Keells Super,Moneragala,1131.89,2.94
2023-09-28,Manufacturing,Logistics,South Asia Gateway Terminals,Matale,806.22,21.73
2023-06-08,Transportation,Software Services,Infomate,Jaffna,834.72,11.37
2023-07-16,Manufacturing,Property Management,John Keells Properties,Kalutara,590.57,8.19
2023-10-23,Manufacturing,Tea Plantations,Tea Smallholder Factories PLC,Vavuniya,243.12,13.25
2023-09-24,Transportation,Property Management,John Keells Properties,Kandy,971.67,23.58
2023-08-25,Transportation,Logistics,John Keells Logistics,Kalutara,877.7,5.3
2023-10-30,Warehousing,Destination Management,Walkers Tours,Kandy,817.94,3.28
2023-03-17,Transportation,Destination Management,Walkers Tours,Kurunegala,1117.81,13.31
2023-08-29,Manufacturing,Property Development,John Keells Properties,Gampaha,340.63,13.51
2023-02-26,Manufacturing,Hotel Ownership,Whittall Boustead Travel,Vavuniya,956.05,16.59
2023-10-07,Transportation,Insurance,Nations Trust Bank,Jaffna,1051.05,15.08
2023-09-20,Manufacturing,Property Management,John Keells Properties,Puttalam,664.53,5.27
2023-01-07,Manufacturing,Frozen Confectionery,Keells Food Products,Colombo,772.69,6.66
2023-05-13,Warehousing,Other Financial Services,Nations Trust Bank,Trincomalee,608.11,1.5
2023-12-11,Manufacturing,Supermarkets,Keells Super,Mullaitivu,441.87,5.14
2023-11-12,Warehousing,Property Management,John Keells Properties,Jaffna,836.51,9.72
2023-09-18,Transportation,Insurance,Nations Trust Bank,Trincomalee,588.97,18.9
2023-08-07,Transportation,Other Financial Services,Nations Trust Bank,Kegalle,938.38,4.22
2023-05-03,Transportation,Destination Management,Walkers Tours,Batticaloa,493.87,9.79
2023-12-12,Manufacturing,Supermarkets,Keells Super,Kurunegala,498.23,10.8
2023-05-18,Manufacturing,Software Services,John Keells IT,Kegalle,695.35,19.79
2023-02-20,Transportation,Rubber Plantations,Tea Smallholder Factories PLC,Colombo,1081.26,15.55
2023-08-05,Manufacturing,Frozen Confectionery,Keells Food Products,Kandy,1087.65,16.82
2023-08-13,Manufacturing,Convenience Foods,Keells Food Products,Gampaha,609.86,22.21
2023-02-03,Manufacturing,Banking,Nations Trust Bank,Kalutara,392.24,20.38
2023-10-29,Manufacturing,Frozen Confectionery,Ceylon Cold Stores,Gampaha,988.59,17.38
2023-03-14,Warehousing,Hotel Management,Walkers Tours,Mannar,870.03,14.31
2023-04-25,Transportation,Ports & Shipping,South Asia Gateway Terminals,Matara,155.69,20.62
